date,app,campaign_id,campaign,impressions,clicks,installs,installs_ct,conversions,cost,revenue,af_complete_registration,af_purchase,channel
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,9.0,,73600.0,1.0,8.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,18.0,,189800.0,2.0,16.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,3.0,,43600.0,,3.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,111416.0,56.0,27.0,7.0,67.0,31905.10049658,538200.0,11.0,29.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,111522.0,79.0,23.0,6.0,39.0,31897.217468759995,131400.0,7.0,9.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,6600.0,,1.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,10837.0,129.0,2.0,,5.0,7720.367406300003,42400.0,1.0,2.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,9800.0,,1.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,11.0,,118400.0,1.0,10.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,1.0,1.0,6.0,,56000.0,,5.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,4.0,,66600.0,,4.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,1.0,,17100.0,,1.0,moloco
2023-01-15,ANDROID,ipiJcMSJAyLrHZQl,App_Install,,,,,6.0,,94300.0,1.0,5.0,moloco
2023-01-16,ANDROID,ipiJcMSJAyLrHZQl,App_Install,866187.0,1009.0,170.0,11.0,271.0,182025.0630121199,630500.0,64.0,37.0,moloco
2023-01-16,ANDROID,ipiJcMSJAyLrHZQl,App_Install,217568.0,476.0,92.0,13.0,148.0,75438.27370602,412400.0,29.0,27.0,moloco
2023-01-16,ANDROID,ipiJcMSJAyLrHZQl,App_Install,27253.0,41.0,10.0,1.0,76.0,6026.590481759999,785700.0,2.0,64.0,moloco
